canonical_title,liquipedia_page_title,liquipedia_url,start_date,end_date,tier,tournament_type,without_ticket_candidate,ticket_status,ticket_confidence,ticket_reason,fandom_match_status,fandom_match_confidence,fandom_matched_by,fandom_page_title,fandom_url,fandom_title,fandom_start_date,fandom_end_date,fandom_aliases,alias_backfill,name_cross_check,date_cross_check,evidence_sources
The International 2011,The International/2011,https://liquipedia.net/dota2/The_International/2011,2011-08-17,2011-08-21,1,Offline,true,likely_ticketless,heuristic,no infobox.dotatv field; start date 2011-08-17 is earlier than the earliest explicit ticketed tournament in this dataset (2012-04-13),matched,high,normalized-title | year | token-overlap,The International 2011,https://dota2.fandom.com/wiki/The_International_2011,The International 2011,,,,,match,missing-on-one-source,liquipedia | fandom
Electronic Sports World Cup 2011,Electronic Sports World Cup/2011,https://liquipedia.net/dota2/Electronic_Sports_World_Cup/2011,2011-10-23,2011-10-25,1,Offline,true,likely_ticketless,heuristic,no infobox.dotatv field; start date 2011-10-23 is earlier than the earliest explicit ticketed tournament in this dataset (2012-04-13),matched,high,normalized-title | year | date | token-overlap,Electronic Sports World Cup 2011,https://dota2.fandom.com/wiki/Electronic_Sports_World_Cup_2011,Electronic Sports World Cup 2011,2011-10-23,2011-10-25,,,match,match,liquipedia | fandom
WCG Asian Championship 2011,World Cyber Games/Asia/2011,https://liquipedia.net/dota2/World_Cyber_Games/Asia/2011,2011-11-09,2011-11-13,2,Offline,true,likely_ticketless,heuristic,no infobox.dotatv field; start date 2011-11-09 is earlier than the earliest explicit ticketed tournament in this dataset (2012-04-13),unmatched,,,,,,,,,,not-checked,not-checked,liquipedia
The Defense Season 1,The Defense/Season 1,https://liquipedia.net/dota2/The_Defense/Season_1,2011-11-15,2012-03-04,1,Online,true,likely_ticketless,heuristic,no infobox.dotatv field; start date 2011-11-15 is earlier than the earliest explicit ticketed tournament in this dataset (2012-04-13),matched,high,normalized-title | year | date,The Defense,https://dota2.fandom.com/wiki/The_Defense,The Defense,2011-11-15,2011-11-16,,,match,close,liquipedia | fandom
DreamHack Winter 2011,DreamHack/2011/Winter,https://liquipedia.net/dota2/DreamHack/2011/Winter,2011-11-24,2011-11-26,1,Offline,true,likely_ticketless,heuristic,no infobox.dotatv field; start date 2011-11-24 is earlier than the earliest explicit ticketed tournament in this dataset (2012-04-13),unmatched,,,,,,,,,,not-checked,not-checked,liquipedia
Dota2 Star Championship,Dota2 Star Championship,https://liquipedia.net/dota2/Dota2_Star_Championship,2011-12-08,2011-12-11,1,Offline,true,likely_ticketless,heuristic,no infobox.dotatv field; start date 2011-12-08 is earlier than the earliest explicit ticketed tournament in this dataset (2012-04-13),matched,high,normalized-title | year | date | token-overlap,Dota 2 Star Championship,https://dota2.fandom.com/wiki/Dota_2_Star_Championship,Dota 2 Star Championship,2011-12-11,2011-12-11,,Dota 2 Star Championship,match,close,liquipedia | fandom
Malaysia Invitational,Malaysia Invitational,https://liquipedia.net/dota2/Malaysia_Invitational,2011-12-17,2011-12-18,2,Offline,true,likely_ticketless,heuristic,no infobox.dotatv field; start date 2011-12-17 is earlier than the earliest explicit ticketed tournament in this dataset (2012-04-13),matched,high,normalized-title | year | date | token-overlap,Malaysia Invitational,https://dota2.fandom.com/wiki/Malaysia_Invitational,Malaysia Invitational,2011-12-17,2011-12-18,,,match,match,liquipedia | fandom
BenQ Dota 2 Clash #2,BenQ Dota 2 Clash/2,https://liquipedia.net/dota2/BenQ_Dota_2_Clash/2,2011-12-20,2011-12-21,3,Online,true,likely_ticketless,heuristic,no infobox.dotatv field; start date 2011-12-20 is earlier than the earliest explicit ticketed tournament in this dataset (2012-04-13),unmatched,,,,,,,,,,not-checked,not-checked,liquipedia
The Premier League Season 1,The Premier League/Season 1,https://liquipedia.net/dota2/The_Premier_League/Season_1,2012-01-04,2012-03-11,1,Online,true,likely_ticketless,heuristic,no infobox.dotatv field; start date 2012-01-04 is earlier than the earliest explicit ticketed tournament in this dataset (2012-04-13),matched,high,normalized-title | year,The Premier League,https://dota2.fandom.com/wiki/The_Premier_League,The Premier League,,,,,match,missing-on-one-source,liquipedia | fandom
D2E Challenge,D2E Challenge,https://liquipedia.net/dota2/D2E_Challenge,2012-01-17,2012-02-02,3,Online,true,likely_ticketless,heuristic,no infobox.dotatv field; start date 2012-01-17 is earlier than the earliest explicit ticketed tournament in this dataset (2012-04-13),matched,high,normalized-title | year | token-overlap,D2E Challenge,https://dota2.fandom.com/wiki/D2E_Challenge,D2E Challenge,,,,,match,missing-on-one-source,liquipedia | fandom
Infused Cup,Infused Cup,https://liquipedia.net/dota2/Infused_Cup,2012-01-28,2012-01-29,3,Online,true,likely_ticketless,heuristic,no infobox.dotatv field; start date 2012-01-28 is earlier than the earliest explicit ticketed tournament in this dataset (2012-04-13),unmatched,,,,,,,,,,not-checked,not-checked,liquipedia
JeeDota2 Championship #1,JeeDota2 Championship/1,https://liquipedia.net/dota2/JeeDota2_Championship/1,2012-02-04,2012-03-28,4,Online,true,likely_ticketless,heuristic,no infobox.dotatv field; start date 2012-02-04 is earlier than the earliest explicit ticketed tournament in this dataset (2012-04-13),unmatched,,,,,,,,,,not-checked,not-checked,liquipedia
Dota2Replays Brawl,Dota2Replays Brawl,https://liquipedia.net/dota2/Dota2Replays_Brawl,2012-02-11,2012-03-11,2,Online,true,likely_ticketless,heuristic,no infobox.dotatv field; start date 2012-02-11 is earlier than the earliest explicit ticketed tournament in this dataset (2012-04-13),matched,high,normalized-title | year | token-overlap,Dota2Replays Brawl,https://dota2.fandom.com/wiki/Dota2Replays_Brawl,Dota2Replays Brawl,,,,,match,missing-on-one-source,liquipedia | fandom
It's Gosu Monthly Madness Season 1,It's Gosu Monthly Madness Dota 2 Invitational,https://liquipedia.net/dota2/It's_Gosu_Monthly_Madness_Dota_2_Invitational,2012-02-27,2012-03-29,2,Online,true,likely_ticketless,heuristic,no infobox.dotatv field; start date 2012-02-27 is earlier than the earliest explicit ticketed tournament in this dataset (2012-04-13),matched,high,normalized-title | year,It's Gosu Monthly Madness Dota 2 Invitational,https://dota2.fandom.com/wiki/It's_Gosu_Monthly_Madness_Dota_2_Invitational,It's Gosu Monthly Madness Dota 2 Invitational,,,,,match,missing-on-one-source,liquipedia | fandom
RaidCall Dota 2 Cup,RaidCall Dota 2 Cup/I,https://liquipedia.net/dota2/RaidCall_Dota_2_Cup/I,2012-03-05,2012-03-07,3,Online,true,likely_ticketless,heuristic,no infobox.dotatv field; start date 2012-03-05 is earlier than the earliest explicit ticketed tournament in this dataset (2012-04-13),unmatched,,,,,,,,,,not-checked,not-checked,liquipedia
Razer Dota 2 Tournament,Razer Dota 2 Tournament,https://liquipedia.net/dota2/Razer_Dota_2_Tournament,2012-03-08,2012-03-11,2,Offline,true,likely_ticketless,heuristic,no infobox.dotatv field; start date 2012-03-08 is earlier than the earliest explicit ticketed tournament in this dataset (2012-04-13),matched,high,normalized-title | year | token-overlap,Razer Dota 2 Tournament,https://dota2.fandom.com/wiki/Razer_Dota_2_Tournament,Razer Dota 2 Tournament,,,,,match,missing-on-one-source,liquipedia | fandom
Team Dignitas Invitational,Team Dignitas Invitational,https://liquipedia.net/dota2/Team_Dignitas_Invitational,2012-03-10,2012-03-11,3,Online,true,likely_ticketless,heuristic,no infobox.dotatv field; start date 2012-03-10 is earlier than the earliest explicit ticketed tournament in this dataset (2012-04-13),matched,high,normalized-title | year | token-overlap,Team Dignitas Invitational,https://dota2.fandom.com/wiki/Team_Dignitas_Invitational,Team Dignitas Invitational,,,,,match,missing-on-one-source,liquipedia | fandom
StarLadder StarSeries Season 1,StarLadder/StarSeries/Season 1,https://liquipedia.net/dota2/StarLadder/StarSeries/Season_1,2012-03-12,2012-04-29,1,Online & Offline,true,likely_ticketless,heuristic,no infobox.dotatv field; start date 2012-03-12 is earlier than the earliest explicit ticketed tournament in this dataset (2012-04-13),unmatched,,,,,,,,,,not-checked,not-checked,liquipedia
joinDOTA Masters I,JoinDOTA Masters/I,https://liquipedia.net/dota2/JoinDOTA_Masters/I,2012-03-21,2012-03-22,4,Online,true,likely_ticketless,heuristic,no infobox.dotatv field; start date 2012-03-21 is earlier than the earliest explicit ticketed tournament in this dataset (2012-04-13),matched,high,normalized-title | year | token-overlap,JoinDOTA Masters I,https://dota2.fandom.com/wiki/JoinDOTA_Masters_I,JoinDOTA Masters I,,,,,match,missing-on-one-source,liquipedia | fandom
